,bagging_temperature,depth,iterations,l2_leaf_reg,learning_rate,od_wait,rsm,target
25,2.420202161,6.51538858,794.5055331,3.673665969,0.094169729,88.46063555,0.781343813,0.690482726
18,1.046144434,8.554090796,1012.267715,8.813999932,0.096734067,45.10426176,0.837410143,0.688623084
5,2.312611422,7.120408127,792.0392514,2.6636901,0.14546811,82.01062587,0.95793094,0.685255487
17,2.405957437,7.662760806,568.3240469,8.477654859,0.099676931,83.03452378,0.802232244,0.684604114
12,1.392569645,7.989225811,788.8274053,4.135098028,0.091921005,78.28590958,0.694915977,0.683060577
4,1.523068846,8.105398159,696.1372444,2.098344114,0.07478136,22.75108169,0.703511993,0.681396171
23,2.858733057,6.215435415,679.4034651,9.081382047,0.120304379,94.02812199,0.868182322,0.673908503
15,2.498172186,7.975289893,711.8603377,2.456646663,0.068885901,20.0389794,0.666138457,0.671959788
16,0.982319956,6.142863216,700.7062596,2.043712742,0.044217777,29.74691616,0.884848737,0.668994839
24,2.311417681,4.319732455,363.3228963,7.224843905,0.093420541,23.72200898,0.963893992,0.663319395
2,2.159725093,7.671117368,425.5444746,3.629301837,0.055587915,56.48559874,0.679869513,0.658400174
26,2.24526925,5.482160973,605.8987594,3.712758584,0.048613388,42.25402332,0.840185665,0.658229898
14,4.443639664,4.097691748,374.3068334,9.172732743,0.084600494,80.38368047,0.6092064,0.648617806
21,0.116717623,6.054961891,828.6977705,4.448055705,0.050613538,89.56279855,0.85822915,0.647271381
11,2.723700752,4.238720844,781.4092161,6.119780025,0.080853642,80.65094227,0.979309762,0.647095094
10,1.684860484,4.555094669,790.7328129,8.118505274,0.089846398,76.20737215,0.973006605,0.644459353
13,2.828096289,5.928793568,983.7801751,2.093118251,0.060709367,95.35327714,0.736051692,0.644231111
6,2.989499894,4.530955012,476.3845762,1.4070456,0.049474219,51.09418318,0.931495004,0.639969489
19,1.777347366,9.758397752,530.464986,1.49023767,0.056427369,32.66216687,0.73707953,0.63859796
20,2.672852027,5.245403974,595.6470241,7.042035143,0.038368441,48.74694146,0.699425936,0.63160027
1,2.540362889,9.819459113,1049.198377,2.911051996,0.02809192,34.67236079,0.809902573,0.588981001
9,2.672583871,7.723679464,692.8439942,4.654556875,0.035610866,22.43408226,0.730564034,0.572101572
0,1.872700594,8.391963651,838.7926358,2.404167764,0.024243184,24.64668897,0.840446005,0.531994455
8,0.027610586,8.241144063,956.1064512,7.94143312,0.012032653,48.67725828,0.94524137,0.502230606
22,1.459411816,6.275012685,464.8444085,1.032704743,0.011648375,95.34350061,0.813188423,0.469218581
7,1.783766633,7.256176499,426.8318025,8.219772827,0.012108046,98.95095493,0.679486273,0.382971897
3,2.571172192,4.278702476,846.7903667,2.534717113,0.010692687,95.91084298,0.923358939,0.348901766
